fecha,ticker,tipo,shares,precio,valor,comision
2021-09-30,TXT,VENTA,315,71.65923,22572.658,51.9171142578125
2021-09-30,AMAT,VENTA,175,124.5798,21801.465,50.14337158203125
2021-09-30,MRO-202411,VENTA,2042,13.036934,26621.42,61.22926712036133
2021-09-30,TPR,VENTA,641,34.057247,21830.695,50.210601806640625
2021-09-30,GNRC,AJUSTE_COMPRA,1,408.67,408.67,23.0
2021-09-30,DFS-202505,AJUSTE_COMPRA,3,113.66311,340.98932,23.0
2021-09-30,IPG-202511,AJUSTE_VENTA,6,31.233904,187.40343,23.0
2021-09-30,CRL,AJUSTE_COMPRA,2,412.67,825.34,23.0
2021-09-30,NUE,AJUSTE_COMPRA,31,92.335464,2862.3994,23.0
2021-09-30,FTNT,AJUSTE_COMPRA,18,58.408,1051.344,23.0
2021-09-30,HCA,AJUSTE_COMPRA,1,234.00578,234.00578,23.0
2021-09-30,DVN,AJUSTE_VENTA,200,28.55801,5711.602,23.0
2021-09-30,MRNA,AJUSTE_VENTA,2,384.86,769.72,23.0
2021-09-30,BBWI,AJUSTE_COMPRA,14,57.20125,800.8175,23.0
2021-09-30,NTAP,COMPRA,274,80.76129,22128.594,50.89576721191406
2021-09-30,NVDA,COMPRA,1073,20.673416,22182.576,51.019927978515625
2021-09-30,EXR,COMPRA,156,141.64775,22097.049,50.823211669921875
2021-09-30,ALGN,COMPRA,33,665.43,21959.19,50.50613784790039
2021-09-30,EFX,COMPRA,90,245.79753,22121.777,50.880088806152344
2021-09-30,CARR,COMPRA,457,48.566372,22194.832,51.04811477661133
2021-09-30,WAT,COMPRA,62,357.3,22152.6,50.95098114013672
2021-09-30,ALB,COMPRA,106,207.7211,22018.438,50.64240646362305
2021-10-29,GNRC,VENTA,54,499.91,26995.14,62.08882522583008
2021-10-29,NTAP,VENTA,274,80.52404,22063.588,50.746253967285156
2021-10-29,EXR,VENTA,156,162.854,25405.225,58.4320182800293
2021-10-29,HCA,VENTA,94,241.38113,22689.826,52.18659973144531
2021-10-29,ALGN,VENTA,33,629.18,20762.94,47.7547607421875
2021-10-29,EFX,VENTA,90,266.9612,24026.51,55.2609748840332
2021-10-29,CARR,VENTA,457,50.369015,23018.64,52.942874908447266
2021-10-29,WAT,VENTA,62,361.72,22426.64,51.581275939941406
2021-10-29,COF,AJUSTE_COMPRA,19,139.91869,2658.455,23.0
2021-10-29,DFS-202505,AJUSTE_COMPRA,30,104.84578,3145.3733,23.0
2021-10-29,IPG-202511,AJUSTE_COMPRA,45,31.14873,1401.6929,23.0
2021-10-29,NVDA,AJUSTE_VENTA,146,25.514444,3725.109,23.0
2021-10-29,NUE,AJUSTE_VENTA,14,104.67311,1465.4236,23.0
2021-10-29,FTNT,AJUSTE_VENTA,28,67.268,1883.5039,23.0
2021-10-29,DVN,AJUSTE_VENTA,46,32.23332,1482.7327,23.0
2021-10-29,MRNA,AJUSTE_COMPRA,10,345.21,3452.0999,23.0
2021-10-29,IT,AJUSTE_VENTA,1,331.91,331.91,23.0
2021-10-29,BBWI,AJUSTE_VENTA,11,62.70084,689.7092,23.0
2021-10-29,ALB,AJUSTE_VENTA,6,237.60289,1425.6173,23.0
2021-10-29,PWR,COMPRA,195,120.42893,23483.643,54.01237869262695
2021-10-29,SIVBQ-202411,COMPRA,32,717.4,22956.8,52.80064392089844
2021-10-29,COP,COMPRA,367,64.143776,23540.766,54.143760681152344
2021-10-29,FANG,COMPRA,267,88.218666,23554.385,54.175086975097656
2021-10-29,OXY,COMPRA,745,31.629768,23564.178,54.197608947753906
2021-10-29,MSCI,COMPRA,37,634.9026,23491.396,54.03021240234375
2021-10-29,MRO-202411,COMPRA,1516,15.541472,23560.873,54.19001007080078
2021-10-29,OKE,COMPRA,467,50.439068,23555.045,54.176605224609375
2021-11-30,COF,VENTA,168,134.98666,22677.76,52.15884780883789
2021-11-30,PWR,VENTA,195,119.34658,23272.584,53.52694320678711
2021-11-30,DFS-202505,VENTA,225,103.56135,23301.303,53.59299850463867
2021-11-30,SIVBQ-202411,VENTA,32,719.49,23023.68,52.954463958740234
2021-11-30,CRL,VENTA,53,375.97,19926.41,45.830745697021484
2021-11-30,IPG-202511,VENTA,758,28.676252,21736.6,49.994178771972656
2021-11-30,MSCI,VENTA,37,611.3161,22618.695,52.02299880981445
2021-11-30,OKE,VENTA,467,48.496666,22647.943,52.09027099609375
2021-11-30,MRNA,AJUSTE_VENTA,1,352.43,352.43,23.0
2021-11-30,NVDA,AJUSTE_VENTA,211,32.608833,6880.464,23.0
2021-11-30,NUE,AJUSTE_COMPRA,8,99.61993,796.9594,23.0
2021-11-30,COP,AJUSTE_COMPRA,19,60.389355,1147.3977,23.0
2021-11-30,FANG,AJUSTE_VENTA,2,88.2213,176.4426,23.0
2021-11-30,OXY,AJUSTE_COMPRA,88,27.969658,2461.3298,23.0
2021-11-30,DVN,AJUSTE_VENTA,44,33.825684,1488.3301,23.0
2021-11-30,MRO-202411,AJUSTE_COMPRA,58,14.804096,858.6376,23.0
2021-11-30,IT,AJUSTE_COMPRA,2,312.25,624.5,23.0
2021-11-30,BBWI,AJUSTE_VENTA,35,68.319664,2391.1882,23.0
2021-11-30,ALB,AJUSTE_VENTA,7,252.7999,1769.5992,23.0
2021-11-30,GNRC,COMPRA,55,421.24,23168.2,53.28685760498047
2021-11-30,F,COMPRA,1590,14.633755,23267.67,53.51564025878906
2021-11-30,DXCM,COMPRA,165,140.6475,23206.838,53.375728607177734
2021-11-30,EOG,COMPRA,332,70.06981,23263.176,53.505306243896484
2021-11-30,TSLA,COMPRA,60,381.58627,22895.176,52.658905029296875
2021-11-30,ENPH,COMPRA,93,250.0,23250.0,53.47500228881836
2021-11-30,APA,COMPRA,1034,22.50625,23271.463,53.52436447143555
2021-11-30,INTU,COMPRA,36,634.4584,22840.502,52.53315734863281
2021-12-31,GNRC,VENTA,55,350.96,19302.799,44.39643859863281
2021-12-31,EOG,VENTA,332,73.25636,24321.113,55.938560485839844
2021-12-31,NUE,VENTA,234,107.31518,25111.752,57.75703048706055
2021-12-31,COP,VENTA,386,62.00759,23934.93,55.05033874511719
2021-12-31,OXY,VENTA,833,27.204971,22661.74,52.122005462646484
2021-12-31,APA,VENTA,1034,23.475668,24273.84,55.829833984375
